id,step,order,section_id
1,"In a blender, combine the rolled oats, cottage cheese, eggs, baking powder, ground cinnamon, vanilla extract, and salt.",1,1
2,"Blend until the mixture is smooth and no oats remain visible, creating a thick, pancake-like batter.",2,1
3,Preheat a non-stick frying pan over medium heat and add the olive oil or coconut oil.,1,2
4,Pour in the batter to form pancakes of your desired size.,2,2
5,"Cook for about 2-3 minutes on one side, or until bubbles begin to form on the surface and the edges look set.",3,2
6,"Carefully flip the pancakes and cook for an additional 2 minutes, or until golden brown.",4,2
7,"Serve the pancakes hot, topped with fresh berries and a dollop of Greek yogurt for added protein and freshness.",1,3
8,"In a large skillet over medium heat, add the olive oil. Once hot, add the chopped onion and garlic, and sauté until softened, about 3 minutes.",1,4
9,"Add the ground beef to the skillet, breaking it apart with a spoon, and cook until browned throughout, approximately 5-6 minutes.",2,4
10,"Stir in the tomato paste, diced tomatoes, salt, black pepper, and Italian seasoning. Reduce the heat to low and allow the sauce to simmer for about 15 minutes, stirring occasionally.",3,4
11,"In a medium bowl, combine the ricotta cheese, egg, and 1/4 cup of the Parmesan cheese. Mix until well combined and set aside.",1,5
12,Preheat your oven to 375°F (190°C).,1,6
13,"In a 9x9-inch baking dish, spread a thin layer of the meat sauce on the bottom.",2,6
14,Place 2 pasta sheets over the sauce. You may need to break them to fit.,3,6
15,"Spread half of the ricotta mixture over the sheets, followed by a third of the mozzarella cheese.",4,6
16,"Repeat with another layer of sauce, pasta, ricotta mixture, and mozzarella.",5,6
17,"Add a final layer of pasta, then top with remaining meat sauce and mozzarella cheese.",6,6
18,Cover the baking dish with aluminum foil and bake in the preheated oven for 30 minutes.,1,7
19,Remove the foil and sprinkle the remaining 1/4 cup of Parmesan cheese on top.,2,7
20,"Return to the oven, uncovered, and bake for an additional 10-15 minutes, or until the cheese is bubbly and golden.",3,7
21,Allow the lasagna to rest for 10 minutes before serving. This will help the layers set and make it easier to slice.,4,7
22,Cut the prawns into bite-sized pieces.,1,8
23,"In a large glass or ceramic bowl, combine the prawns with the lime juice, lemon juice, and a pinch of salt. Ensure the prawns are fully submerged in the juices.",2,8
24,"Cover the bowl and refrigerate for about 20-30 minutes until the prawns turn opaque, indicating they are 'cooked' by the citrus juices.",3,8
25,"While the prawns are marinating, prepare the vegetables. Finely chop the red onion and red chili.",1,9
26,"Dice the cucumber, halve the cherry tomatoes, and chop the coriander leaves.",2,9
