id,dish_name,servings,description,created_at,modified_at,ingredients_digest,created_by_id,status
7,Poached Salmon with Greens,4,"A delicate and flavorful dish featuring poached salmon served on a bed of sautéed greens, perfect for a light and healthy meal.",2024-11-20 17:13:58.203954+02,2024-11-20 17:13:58.203964+02,4e231b811da19d79a936019b1c6e87cf79113bfad6f238c9385c5a98ef23d74c,1,draft
2,Classic Beef Lasagna,3,"A delicious and hearty beef lasagna that's perfect for a cozy meal. Made with layers of tender pasta, rich meat sauce, and a creamy ricotta-mozzarella-parmesan blend.",2024-11-20 17:13:57.986235+02,2024-11-20 17:13:57.986243+02,939ae27f8defd40a4a156f5b19ec3c70f7cc6c2f0e7fb0e0b75559aefb0f7bff,1,draft
13,Mushroom Risotto,4,"A creamy, savory risotto featuring earthy mushrooms, perfectly cooked arborio rice, and a touch of parmesan. Ideal for a comforting meal.",2024-11-20 18:41:37.636373+02,2024-11-20 18:41:37.63642+02,68da0c2073679edab7de6d4542f31da98461d5e85d0e1a2272b34fc40ca858a2,1,published
18,Cherry Nut Butter Energy Balls,8,"These cherry nut butter energy balls are perfect for a quick snack or pre-workout boost. They combine the tartness of dried cherries with the creamy and nutty flavor of almond butter, creating a delicious and nutritious snack.",2024-11-20 20:49:13.097567+02,2024-11-20 20:49:13.097622+02,0ba55e1e90fd662bba12a1b7b68dd4ed21d96523aa52755b18847d8878c34bff,1,draft
6,Simple Shoryu Ramen,4,"A straightforward and delicious version of Shoryu Ramen that's easy to prepare at home, perfect for ramen enthusiasts looking for a quick and tasty meal.",2024-11-20 17:13:58.161052+02,2024-11-20 17:13:58.16106+02,787660747510f7bad72d827bf82c71402646dda3dcee6ef926f15585e8e1aa16,1,draft
1,Slow-carb Pancakes,4,"These pancakes are a healthy, slow-carb breakfast option, packed with protein and fiber to keep you energized throughout the morning.",2024-11-20 17:13:57.950804+02,2024-11-20 17:13:57.950818+02,58dc67db1382cff7fd1bce80c97b6b9b4dd67310fda98adc951fcef0a2786a19,1,draft
16,Zoodles with Raw Alfredo Sauce,4,"A vegan and nourishing dish featuring zucchini noodles topped with a creamy and raw Alfredo sauce, perfect for a refreshing meal.",2024-11-20 20:08:05.738256+02,2024-11-20 20:08:05.738283+02,2ee22422c0330bd43eedee0df7c66224a4f8d64991bcec4b33f378ba9a71d1d9,1,published
5,Salade Niçoise,4,"A classic French salad featuring a colorful ensemble of fresh vegetables, tuna, hard-boiled eggs, and an olive oil vinaigrette.",2024-11-20 17:13:58.11333+02,2024-11-20 17:13:58.113338+02,f37b22e1e9d845ea1326a6df204661bbd2099ae914201d8548fa89afcefcc94c,1,draft
4,Darcy's Butter-free Butter Chicken,3,A healthier version of the classic butter chicken that maintains rich flavors using yogurt and spices instead of butter. This recipe offers a low-fat alternative ideal for those looking to enjoy this dish without the extra calories.,2024-11-20 17:13:58.071938+02,2024-11-20 17:13:58.071945+02,3c723ce98c3e0ed3a0ddb577c85ccee9835f1ba62ac9e47516099a3a9e7227ef,1,draft
9,Low-Calorie Brownies,6,"A healthier twist on classic brownies, these low-calorie brownies are rich in chocolate flavor while being mindful of caloric intake. Perfect for satisfying your sweet tooth without the guilt.",2024-11-20 17:13:58.263623+02,2024-11-20 17:13:58.263634+02,7722ec738b1b4a92b7637f935f78a77d4e66979f499b178b935a1138b976f3fa,1,draft
